,Title,Poem,Poet,Tags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"
                    Stung
                ","
She couldn't help but sting my finger,
clinging a moment before I flung her
to the ground. Her gold is true, not the trick
evening light plays on my roses.
She curls into herself, stinger twitching,
gilt wings folded. Her whole life just a few weeks,
and my pain subsided in a moment.
In the cold, she hardly had her wits to buzz.
No warning from either of us:
she sleeping in the richness of those petals,
then the hand, my hand, cupping the bloom
in devastating force, crushing the petals for the scent.
And she mortally threatened, wholly unaware
that I do this daily, alone with the gold last light,
in what seems to me an act of love.
",Heid E. Erdrich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"
                    Nothing But Good...
                ","
I will not speak ill of Jack Flick.
I will rarely look
at the scar he made on my cheek
one summer at the lake.
I won't speak ill of Jack whose freckles
and gangly legs are gone.
So is the drained face I saw when he saw
what he'd done with a sharp rock
nonchalantly skipped.
I will speak well, for it was somewhat
sweet to lie on the dock while Jack
and his friends bent down
and wiped my face with a sandy towel.
I will speak well of them,
for most are gone
and the wound proved small.
I will speak well, for the rock
missed my eye. I can hardly find
the scar. Jack went into the air
corps, fought in one of the wars,
retired, and lived less than a year
before his tender heart gave out.
I will speak well of Jack.
",Sarah White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"
                    How Quiet
                ","
How quiet is the spruce,
the wind twills
through the uppermost tier
of splayed leaves.
Now the song of a bird
like the squeaky lock
over a canoe's oar,
followed by startling chirps,
the sky pushing its clouds
like sailboats,
and I think, what kind of God
keeps himself secret
so that to find him out
we have to seek, as children do
for something like the beetle
scuttling between grass,
hidden in plain sight.
",Judith Harris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"
                    Porcupine
                ","
You think we are the pointed argument,
the man drunk at the party showing off
his gun collection, the bed of nettles.
 
What we really are is hidden from you:
girl weeping in the closet among her stepfather's boots;
tuft of rabbit fur caught in barbed wire; body of the baby
in the landfill; boy with the shy mouth playing his guitar
at the picnic table, out in the dirt yard.
 
We slide into this world benign and pliable,
quills pressed down smooth over back and tail.
Only one hour here stiffens the barbs into thousands
of quick retorts. Everything this well-guarded
remembers being soft once.
",Kelly Madigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"
                    Summer Apples
                ","
I planted an apple tree in memory
of my mother, who is not gone,
 
but whose memory has become
so transparent that she remembers
 
slicing apples with her grandmother
(yellow apples; blue bowl) better than
 
the fruit that I hand her today. Still,
she polishes the surface with her thumb,
 
holds it to the light and says with no
hesitation, Oh, Yellow Transparent . . . 
 they're so fragile, you can almost seeto the core. She no longer remembers how
 
to roll the crust, sweeten the sauce, but
her desire is clear—it is pie that she wants.
 
And so, I slice as close as I dare to the core—
to that little cathedral to memory—where
 
the seeds remember everything they need
to know to become yellow and transparent.
 
 
",Cathryn Essinger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"
                    Visiting the Neighborhood
                ","
The entrance at the back of the complex
led onto a road, where an upended couch
tilted into a ditch and a washing machine
gleamed avocado beneath pine needles.
 
From the end, you turned left and left again,
then cut a trail to find the cul-de-sac
of bright brick houses. We'd walk as far
as we dared before a man pushing a mower
 
might stop to ask, ""whadda you boys need?""
That was a question we could never answer.
I loved the name of the place, White Hall,
imagined that each interior was a stretch
 
of marble perfect wall adorned by smiling
photos of the family. Our own halls
were brailled with nail holes of former
tenants, the spackled rounds of fists.
 
But doesn't longing clarify the body?
The boys I left behind: Tommy, wearing
the World War II trenching tool;
Danny, whose father, so much older
 
than the other parents, died in his recliner
one sunny afternoon while watching baseball;
Duke, who stole his mother's car and crashed
into a wall. Boys who knew when you were posing,
 
waiting for someone to say, ""smile."" Boys
who, on those latch-key days, held themselves
in narrow passages when no one
was there to show them what to do. 
 
",P. Ivan Young,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"
                    scars
                ","
my father’s body is a map
a record of his journey
 
he carries a bullet
lodged in his left thigh
there is a hollow where it entered
a protruding bump where it sleeps
the doctors say it will never awaken
 
it is the one souvenir he insists on keeping
mother has her own opinionsbố cùa con điên—your father is crazy
 
as a child
i wanted a scar just like my father’s
bold and appalling     a mushroom explosion
that said i too was at war
instead i settled for a grain of rice
a scar so small look closely there
here between the eyes
a bit to the right
there on the bridge of my nose
 
father says i was too young to remember
it happened while i was sleeping
leaking roof the pounding rain
drop after drop after drop
 
",Truong Tran,"The Body,Family & Ancestors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"
                    what remains two
                ","
it has long been forgotten this practice of the mother
weaning a child she crushes the seeds of a green
chili rubs it to her nipple what the child feels
she too will   share in this act   of love
my own mother says it was not meant
to be cruel when cruelty she tells me
is a child’s lips   torn from breast as proof
back home the women wear teeth marks
 
",Truong Tran,"Infancy,Parenthood,The Body",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"
                    West of Myself
                ","
Why are you still seventeen
and drifting like a dog after dark,
dragging a shadow you’ve found?
 
Put it back where it belongs,
and that bend of river, too. That’s not the road
you want, though you have it to yourself.
 
Gone are the cars that crawl to town
from the reactors, a parade of insects, metallic,
fuming along the one four-lane street.
 
The poplars of the shelterbelt lean away
from the bypass that never had much to pass by
but coyote and rabbitbrush.
 
Pinpricks stabbed in a map too dark to read—
I stared at stars light-years away.
Listen. That hissing? Just a sprinkler
 
damping down yesterday until it’s today.
The cottonwoods shiver, or I do,
every leaf rustling as if it’s the one
 
about to tear itself, not I.
Memory takes the graveyard shift.
 
",Debora Greger,Coming of Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"
                    Yes
                ","



Yes, your childhood now a legend of fountains
                                                         —jorge gullén



Yes, your childhood, now a legend
gone to weeds, still remembers the gray road
that set out to cross the desert of the future.
 
And how, always just ahead,
gray water glittered, happy to be just a mirage.
Who steps off the gray bus at the depot?
 
Sidewalks shudder all the way home.
Blinds close their scratchy eyes.
Who settles in your old room?
 
Sniffy air sprawls as if it owns the place,
and now your teenage secrets have no one to tell.
For the spider laying claim to the corner,
 
there is a stickiness to spin, that the living may beg
to be wrapped in silk and devoured,
leaving not even the flinch from memory.
",Debora Greger,"Coming of Age,Youth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
